Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
LOC109621113,LOC109621113,0.0004609712239209711,1.6313704437459666,0.3856007287012731,0.0,-1.6313704437459666,0.3856007287012731
LOC105333279,LOC105333279,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC105321472,LOC105321472,0.0006914568358814566,-1.275520151862553,0.26589616154579376,0.0020086902782709888,1.275520151862553,0.26589616154579376
LOC117687070,LOC117687070,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC117690921,LOC117690921,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC117687074,LOC117687074,0.00023048561196048554,0.04640794302481055,1.0,0.00022318780869677655,-0.04640794302481055,1.0
LOC117682936,LOC117682936,0.0006914568358814566,2.0464079430248105,0.27632435541625644,0.0,-2.0464079430248105,0.27632435541625644
LOC105336148,LOC105336148,0.003457284179407283,-1.1630454226041405,0.0722428259970175,0.008034761113083955,1.1630454226041405,0.0722428259970175
LOC105346550,LOC105346550,0.05554703248247701,-0.7212293468838147,0.001109675860352474,0.09173018937437516,0.7212293468838147,0.001109675860352474
LOC117684466,LOC117684466,0.00023048561196048554,-0.9535920569751895,0.8246280498269504,0.0006695634260903297,0.9535920569751895,0.8246280498269506
LOC117684471,LOC117684471,0.0018438848956838843,-0.10559515042024081,1.0,0.0020086902782709888,0.10559515042024081,1.0
LOC117684472,LOC117684472,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC105333180,LOC105333180,0.013829136717629132,1.333289090812971,0.0007279792871605192,0.005356507408722637,-1.333289090812971,0.0007279792871605192
LOC105321195,LOC105321195,0.011063309374103306,-0.12024192638464193,0.9221047921975851,0.012052141669625933,0.12024192638464193,0.9221047921975851
LOC105321194,LOC105321194,0.04148741015288739,-1.6849673506031708,3.3803929973868812e-15,0.13391268521806593,1.6849673506031708,3.3803929973868812e-15
LOC105321193,LOC105321193,0.3413491913134791,-0.3539529796215908,0.07396090609761201,0.43633216600219815,0.3539529796215908,0.07396090609759204
LOC105321197,LOC105321197,1.276429319037169,-0.9322067436900237,5.8179438565112326e-08,2.435871744116619,0.9322067436900237,5.8179438565082356e-08
LOC105321199,LOC105321199,0.026966816599376806,-1.6101078187213806,1.0101248623940596e-12,0.0828026770265041,1.6101078187213806,1.0101248623940596e-12
LOC105321198,LOC105321198,0.7815767101580064,0.39495003051674604,0.0369310511350201,0.594349134559516,-0.39495003051674604,0.03693105113502903
LOC105321201,LOC105321201,0.0004609712239209711,0.6313704437459666,0.7631987662361144,0.00022318780869677655,-0.6313704437459666,0.7631987662361144
LOC105321202,LOC105321202,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC105321203,LOC105321203,0.0009219424478419422,-1.6316639620878277,0.04951676162531977,0.003347817130451648,1.6316639620878277,0.04951676162531977
LOC105328747,LOC105328747,0.05946528788580527,2.8537628650824125,5.40689147261189e-22,0.008034761113083955,-2.8537628650824125,5.40689147261189e-22
LOC105328746,LOC105328746,0.17724343559761338,-0.2807568002287004,0.20967179792772778,0.21537623539238937,0.2807568002287004,0.20967179792772778
LOC105328744,LOC105328744,0.05923480227384478,-1.8188817481169366,1.7478971589741308e-20,0.20957335236627317,1.8188817481169366,1.7478971589741308e-20
LOC105328743,LOC105328743,0.2751998206808197,1.8555749168687476,2.0602270149984022e-20,0.07588385495690403,-1.8555749168687476,2.0602270149984022e-20
LOC105328742,LOC105328742,0.016594964061154956,-1.1474717905692255,2.2068500869919958e-05,0.037049176243664904,1.1474717905692255,2.2068500869919958e-05
LOC105328741,LOC105328741,0.03687769791367768,-1.9126940257931926,2.2612834341710756e-19,0.13949238043548534,1.9126940257931926,2.2612834341710756e-19
LOC109619976,LOC109619976,0.3293639394915338,3.7208524526329567,2.8327623242870104e-68,0.024773846765342198,-3.7208524526329567,2.8327623242870104e-68
LOC105337994,LOC105337994,0.005531654687051653,0.602801291549194,0.48778131605392394,0.003571004939148425,-0.602801291549194,0.48778131605392394
LOC105328736,LOC105328736,0.12976339953375335,0.5170743111573555,0.020555288958619727,0.09061425033089128,-0.5170743111573555,0.020555288958619692
LOC105338004,LOC105338004,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC117684581,LOC117684581,0.0,-0.9535920569751895,1.0,0.00022318780869677655,0.9535920569751895,1.0
LOC117684579,LOC117684579,0.0004609712239209711,0.6313704437459666,0.7631987662361144,0.00022318780869677655,-0.6313704437459666,0.7631987662361144
LOC117684584,LOC117684584,0.0018438848956838843,3.2163329444671227,0.009201882353071612,0.0,-3.2163329444671227,0.009201882353071605
LOC105333579,LOC105333579,0.00023048561196048554,0.04640794302481055,1.0,0.00022318780869677655,-0.04640794302481055,1.0
LOC109620526,LOC109620526,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC105320538,LOC105320538,0.0009219424478419422,-0.8015889635301399,0.6432559078367491,0.0017855024695742124,0.8015889635301399,0.6432559078367491
LOC105320528,LOC105320528,0.05531654687051653,-1.0151173105507563,2.273279034413787e-06,0.11204027996578182,1.0151173105507563,2.273279034413787e-06
LOC105320530,LOC105320530,0.2560695148880994,-0.37089819993981177,0.06388192894382944,0.3312107081060164,0.37089819993981177,0.06388192894381027
LOC105320526,LOC105320526,0.010602338150182335,1.141565176065149,0.008788439481051886,0.004686943982632308,-1.141565176065149,0.008788439481051886
LOC105328197,LOC105328197,0.0004609712239209711,1.6313704437459666,0.42633428373339166,0.0,-1.6313704437459666,0.42633428373339166
LOC109618754,LOC109618754,0.0004609712239209711,1.6313704437459666,0.3856007287012731,0.0,-1.6313704437459666,0.3856007287012731
LOC105318169,LOC105318169,0.5794408284686606,2.6738656434514514,4.4949057132365236e-45,0.09061425033089128,-2.6738656434514514,4.4949057132365236e-45
LOC105318171,LOC105318171,0.003457284179407283,-3.901959288559868,1.5588706452312723e-32,0.05490420093940703,3.901959288559868,1.5588706452312723e-32
LOC105318173,LOC105318173,0.0018438848956838843,-1.737863365919753,0.007082306481884494,0.006695634260903296,1.737863365919753,0.007082306481884494
LOC105318172,LOC105318172,0.0,-2.9535920569751895,0.03677928701454123,0.0015623146608774359,2.9535920569751895,0.03677928701454123
LOC105318174,LOC105318174,0.04563615116817613,-0.8715562881091796,6.200198528131307e-05,0.0836954282612912,0.8715562881091796,6.200198528131307e-05
LOC105318175,LOC105318175,0.1959127701664127,0.3220423856382362,0.13218271025238026,0.15667784170513713,-0.3220423856382362,0.13218271025238038
LOC105318177,LOC105318177,0.06499694257285692,-1.0449480060433936,2.2021221157413512e-07,0.13435906083545948,1.0449480060433936,2.2021221157413512e-07
LOC105318179,LOC105318179,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC117684715,LOC117684715,0.0004609712239209711,0.6313704437459666,0.7631987662361144,0.00022318780869677655,-0.6313704437459666,0.7631987662361144
LOC117684721,LOC117684721,0.0018438848956838843,1.2163329444671227,0.2541555959830841,0.0006695634260903297,-1.2163329444671227,0.2541555959830841
LOC109619554,LOC109619554,0.0004609712239209711,1.6313704437459666,0.3856007287012731,0.0,-1.6313704437459666,0.3856007287012731
LOC105329536,LOC105329536,0.06614937063265934,-1.0504535962277801,1.6060120960676002e-07,0.13726050234851758,1.0504535962277801,1.6060120960676002e-07
LOC105329535,LOC105329535,0.47733570237016554,-0.3698475344107063,0.05690298948349533,0.6168911032378903,0.3698475344107063,0.056902989483525346
LOC105329534,LOC105329534,0.02166564752428564,-3.743486008966573,1.1938114623097997e-56,0.2930455928188676,3.743486008966573,1.1938114623097997e-56
LOC117684746,LOC117684746,0.4920867815356366,-0.18060850483708635,0.4319530078381917,0.5577463339332446,0.18060850483708635,0.4319530078381917
LOC105329532,LOC105329532,0.24316232061831222,-0.3469500099403404,0.0879829321981288,0.3093383028537323,0.3469500099403404,0.08798293219812997
LOC105329531,LOC105329531,0.009680395702340392,-2.0111430795373497,2.0598997521232987e-12,0.03972742994802622,2.0111430795373497,2.0598997521232987e-12
LOC105324352,LOC105324352,0.00023048561196048554,-1.275520151862553,0.5538725217168892,0.0008927512347871062,1.275520151862553,0.5538725217168892
LOC109618651,LOC109618651,0.0009219424478419422,0.3683360379121723,0.8580151899064324,0.0006695634260903297,-0.3683360379121723,0.8580151899064324
LOC117680533,LOC117680533,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC117692528,LOC117692528,0.011754766209984762,-0.7450054351637743,0.029009665234752888,0.01986371497401311,0.7450054351637743,0.029009665234752915
LOC105327355,LOC105327355,0.11639523404004519,-0.4341228555520611,0.039642082941555384,0.15734740513122747,0.4341228555520611,0.039642082941555384
LOC105327359,LOC105327359,0.0011524280598024276,1.6313704437459666,0.21802874110229267,0.00022318780869677655,-1.6313704437459666,0.21802874110229267
LOC105327358,LOC105327358,0.005762140299012138,0.04640794302480877,1.0,0.005579695217419414,-0.04640794302480877,1.0
LOC105327360,LOC105327360,0.22818075584088068,2.911686348960958,5.668556639179565e-37,0.030130354174064834,-2.911686348960958,5.668556639179565e-37
LOC105327361,LOC105327361,0.9528275198446472,-1.4864532193424151,3.77907818234255e-18,2.6702189432482344,1.4864532193424151,3.779078182343516e-18
LOC105327363,LOC105327363,0.005301169075091167,-0.12351705841750338,0.9359124261377999,0.00580288302611619,0.12351705841750338,0.9359124261379848
LOC105321409,LOC105321409,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC105345084,LOC105345084,0.00921942447841942,2.8189974469217374,2.496803305190058e-05,0.0011159390434838828,-2.8189974469217374,2.496803305190058e-05
LOC105347024,LOC105347024,0.0011524280598024276,-1.8921915123110473,0.005881777875594911,0.004910131791329084,1.8921915123110473,0.005881777875594911
LOC117681699,LOC117681699,0.00023048561196048554,-0.5385545576963455,1.0,0.0004463756173935531,0.5385545576963455,1.0
LOC105327365,LOC105327365,0.5234328247622626,-0.026036075926841096,1.0,0.5329724871679024,0.026036075926841096,1.0
LOC105319881,LOC105319881,0.008066996418616993,-1.8060348685613334,2.8329349252582413e-08,0.028791227321884175,1.8060348685613334,2.8329349252582413e-08
LOC117681707,LOC117681707,0.0004609712239209711,-0.6905576511413969,0.8246280498269504,0.0008927512347871062,0.6905576511413969,0.8246280498269506
LOC105319882,LOC105319882,0.09933929875496926,-0.4251167476005082,0.05301384271892041,0.13346630960067238,0.4251167476005082,0.05301384271892041
LOC105319883,LOC105319883,0.0029963129554863117,-3.1462371349175866,4.022150134291708e-14,0.028344851704490623,3.1462371349175866,4.022150134291708e-14
LOC105319884,LOC105319884,0.06614937063265934,-0.4202916760765274,0.06556028204591555,0.08860556005262028,0.4202916760765274,0.06556028204591555
LOC109617580,LOC109617580,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC105319885,LOC105319885,0.004379226627249225,-0.15522591814484166,0.8996585588946203,0.004910131791329084,0.15522591814484166,0.8996585588946203
LOC117681709,LOC117681709,0.0,-0.9535920569751895,1.0,0.00022318780869677655,0.9535920569751895,1.0
LOC117681711,LOC117681711,0.0029963129554863117,1.0464079430248088,0.346787690331068,0.0013391268521806593,-1.0464079430248088,0.3467876903310678
LOC105319886,LOC105319886,0.0004609712239209711,1.6313704437459666,0.3856007287012731,0.0,-1.6313704437459666,0.3856007287012731
LOC105342315,LOC105342315,0.0032267985674467974,0.04640794302480877,1.0,0.0031246293217548717,-0.04640794302480877,1.0
LOC105335931,LOC105335931,0.0011524280598024276,-1.069069274395126,0.26678248409496225,0.0026782537043613186,1.069069274395126,0.26678248409496225
LOC105335914,LOC105335914,0.011524280598024276,1.5489082835539927,0.01380526758237408,0.003794192747845201,-1.5489082835539927,0.01380526758237408
LOC105348645,LOC105348645,0.0,-1.5385545576963455,0.6432559078367491,0.0004463756173935531,1.5385545576963455,0.6432559078367491
LOC117683687,LOC117683687,0.012446223045866218,-1.8375682606357069,4.028951643308499e-10,0.045083937356748864,1.8375682606357069,4.028951643308499e-10
LOC117680453,LOC117680453,0.00023048561196048554,1.0464079430248105,0.6432559078367491,0.0,-1.0464079430248105,0.6432559078367491
LOC117683639,LOC117683639,0.0,-0.9535920569751895,1.0,0.00022318780869677655,0.9535920569751895,1.0
LOC117683649,LOC117683649,0.0004609712239209711,0.6313704437459666,0.8086524283080747,0.00022318780869677655,-0.6313704437459666,0.8086524283080747
LOC105337358,LOC105337358,0.03295944251034943,1.358351949339549,4.839132907176498e-05,0.012721705095716263,-1.358351949339549,4.839132907176498e-05
LOC117683688,LOC117683688,0.03249847128642846,1.0668720455845246,0.00022688195859076914,0.015399958800077582,-1.0668720455845246,0.00022688195859076914
LOC109619877,LOC109619877,0.00023048561196048554,0.04640794302481055,1.0,0.00022318780869677655,-0.04640794302481055,1.0
LOC117683699,LOC117683699,0.013137679881747674,-1.1724266588984502,8.178837561999158e-05,0.029907166365368058,1.1724266588984502,8.178837561999158e-05
LOC117683701,LOC117683701,0.0,-0.9535920569751895,1.0,0.00022318780869677655,0.9535920569751895,1.0
