Feature,Normalized.Dispersion
LOC105333279,nan
LOC105321472,-0.9584732273767821
LOC105344774,nan
LOC117687074,nan
LOC117682936,-0.46643932393937276
LOC105336148,-0.30178160921030067
LOC105346550,-1.6530259077225709
LOC105321192,nan
LOC117684466,nan
LOC117684471,1.0616323694704912
LOC105333180,1.305022774283862
LOC105321195,1.7554150020571528
LOC105321194,-0.8581379889494722
LOC105321193,-0.8833582445182826
LOC105321197,-0.7262791301187231
LOC105321199,1.0250189282930544
LOC105321198,-1.0441769722139187
LOC105321201,nan
LOC105321202,nan
LOC105321203,-0.7246245984703625
LOC105328747,-1.345262664502491
LOC105328746,-1.4862421887167827
LOC105328744,0.14222225325809235
LOC105328743,-0.05980436339106691
LOC105328742,2.1969427841130695
LOC105328741,0.4149504041961942
LOC109619976,0.0713052002612875
LOC105337994,0.027217540922142177
LOC105328736,3.676192049669252
LOC117684581,nan
LOC117684579,nan
LOC117684584,0.1635334236487838
LOC105320538,-6.629925855514541
LOC105320528,-0.46996830409532164
LOC105320530,-1.2995811050613313
LOC105320526,-0.8393702543841141
LOC105318169,0.3014438891076177
LOC105318171,-1.4551552501279537
LOC105318173,-1.0192377264797747
LOC105318172,-0.9068681753063914
LOC105318174,-1.3972211052429244
LOC105318175,-1.691936488004876
LOC105318177,0.5076611751114356
LOC117684723,nan
LOC105318179,9.126705275129849
LOC117684719,nan
LOC117684715,0.3400394162656002
LOC117684721,-0.003747352734536004
LOC109619554,nan
LOC105329536,-0.9001265433494672
LOC105329535,0.10619158546098866
LOC105329534,4.186197258363803
LOC117684746,-0.04462844708894137
LOC105329532,-0.14797147513282705
LOC105329531,0.16916584310568286
LOC105327353,nan
LOC105324352,5.67544985741795
LOC109618651,-2.447620824973062
LOC117692528,0.016542097527620005
LOC105327355,-1.2296775081220472
LOC105327359,3.591407795570224
LOC105327358,-1.3448050756008074
LOC105327360,4.206568369907658
LOC105327361,-0.5577912589083484
LOC105327363,1.6980456549707483
LOC105321409,3.718831471021515
LOC117692559,nan
LOC105345084,1.9635230235397636
LOC105347024,-0.37610048663681855
LOC105327365,0.6997727351402835
LOC105319881,0.5293604427975729
LOC117681707,-0.0205670841858204
LOC105319882,-0.7990228634360683
LOC105319883,0.7608971500814541
LOC105319884,-1.8842539633207485
LOC109617580,nan
LOC105319885,-1.0242758441989386
LOC117681709,nan
LOC117681711,-0.12052933289319874
LOC105319886,nan
LOC105319890,nan
LOC105342315,0.447032635460969
LOC105335912,nan
LOC117684936,nan
LOC105335931,1.2026637134116298
LOC105335914,1.3066312961485
LOC105348645,nan
LOC117683687,3.5650185940603127
LOC117683649,nan
LOC105337358,0.6220798467138398
LOC117683688,-1.0931271193600756
LOC109619877,-0.00548498113352943
LOC117683699,-1.3467000421905613
LOC117683701,nan
LOC117683678,5.163506872312339
LOC105337365,-0.09111370001145375
LOC105327168,nan
LOC105327195,4.4826028305743355
LOC105326746,nan
LOC117680455,-0.583690108772987
LOC105337361,-0.11807819063986347
LOC105337360,1.4879322183245274
LOC117683736,nan
LOC117683607,nan
LOC117683600,-1.77856297986899
LOC105337362,0.5235926183583576
LOC117683663,0.4477520395012055
LOC117680428,0.9655045509018427
LOC105337368,-1.0993020656455192
LOC105337367,-1.4458920317434847
LOC105337369,-1.7013127228814218
LOC105342725,-0.7520814290532306
LOC105337370,0.770137014435272
LOC105337371,-1.003948802285474
LOC105337373,-1.2068441700561285
LOC105337374,3.94640279469772
LOC105337394,-1.1372224154810746
LOC105337375,-0.22486079797154976
LOC105337376,2.7624983146935325
LOC105337377,5.393721709218239
LOC105337379,2.1799912644930615
LOC105324274,10.046761696616906
LOC105331846,6.296169689556254
LOC105331845,-0.9003616365329068
LOC105331844,3.6736327170655763
LOC105323503,-0.5638177725788261
LOC105331842,0.30191575368752155
LOC105331841,-1.0515485216797085
LOC109619196,nan
LOC105331840,-0.11110541556265376
LOC105331839,-0.8648450077916962
LOC105331837,1.70895182538841
LOC105331854,3.530450942131587
LOC117687154,6.612069434483778
LOC105341168,2.2631557286978987
LOC105338364,0.725957823378975
LOC105338363,-0.8141752640442352
LOC105338361,-1.419258561313623
LOC105338360,1.9268347977108964
LOC105338369,-1.0490986737117163
LOC105338359,2.11789400990665
LOC105338358,0.2531048573251141
LOC105338357,2.346699243301657
LOC105338356,0.6359685677272369
LOC105338354,-1.9154639535798763
LOC105338355,2.761294903101265
LOC105338353,0.3129012208104721
LOC117682784,0.02687689017629289
LOC105326415,2.6127400989702165
LOC105326414,-0.970889363707348
LOC105326417,0.08317067725422753
LOC105326416,0.8500789014249363
LOC109617077,2.108555991879152
LOC105326418,-0.33105965666430326
LOC117682815,-0.8159172330685406
LOC105326419,-1.0408038386558678
LOC105326420,-0.9455178052427125
LOC105326424,1.5441380484076126
LOC105326423,-0.06856692425001389
LOC105326425,nan
LOC105326426,2.1455130230717536
LOC117682867,nan
LOC105326427,0.1679518922696303
LOC105326456,3.9477815328750143
LOC105326429,-0.6634445534442567
LOC105326430,-0.2007374976993998
LOC105326431,3.3942545324937723
LOC105326432,-1.0458023167874102
LOC105326457,2.601600028241471
LOC105337119,nan
LOC105326433,5.09230000375644
LOC105326435,7.079034733270638
LOC105326436,4.633517340126553
LOC105326437,0.5293333722726827
LOC105326439,16.96904790292726
LOC105326440,0.39652874396723004
LOC105320483,-0.29552148651645205
LOC105340021,11.906607725012135
LOC105340020,-1.1388518847130549
LOC105340019,nan
LOC117691994,-1.2665966455565443
LOC105340018,3.6465508997784584
LOC117692288,-1.2143126149998833
LOC105347995,nan
LOC117683895,0.9486697636213117
LOC117687083,nan
LOC105331616,-0.8340657576780648
LOC117680311,-0.7910688395388102
LOC105323257,8.565066967959796
LOC105323256,1.7363110762977025
LOC105323255,-1.0041980271599684
LOC105323254,-1.1463477818154215
LOC105323253,-1.1694708675404342
LOC109618019,0.9398265059563712
LOC105323251,0.20752678476165382
LOC105323250,-0.3560656271376275
LOC117680481,-0.16382953015317114
LOC105323249,-0.7769194194747839
LOC105323248,-1.3249512472579774
LOC105323247,0.44117808805673886
LOC105323246,-0.18438119221138385
LOC109618020,3.563558935131199
LOC105323245,1.4511212239389013
LOC105323244,2.1263633745269876
LOC109619489,-1.5547380188053301
LOC105323243,0.05819390997129669
LOC105323242,-0.06689552313212846
LOC105323241,-0.7288417780345587
LOC105323240,-5.827144355813059
LOC105323239,5.997945608286656
LOC117682288,1.4039633793236765
LOC105323290,1.4882245073424933
LOC105323235,-0.08389275758583643
LOC105323233,-0.8323121110983639
LOC105323234,2.50379458920237
LOC105323232,-0.9913649732968859
LOC105323229,1.0447263424063364
LOC117682364,-4.461021088527949
LOC105323227,2.756191171165864
LOC105323226,11.037335763468484
LOC105323225,-0.8596231449322439
LOC105323223,-1.1804426583941143
LOC117682405,-1.4294665913942914
LOC105323221,4.362804181049996
LOC105323220,0.6225047130902092
LOC105323219,-0.38604751189617387
LOC105323217,1.07858933999252
LOC105323216,-0.9362679695671878
LOC105323215,0.06911348958440848
LOC117682470,nan
LOC117682472,0.6071648979479933
LOC117682469,1.2380930266121084
LOC105323214,-0.8341528127164216
LOC105323213,-0.25505585925107377
LOC109617943,nan
LOC105335743,-1.170782831778856
LOC117684829,-1.7254592525875414
LOC117687183,1.506054985283425
LOC109620475,0.9592026996658047
LOC109620474,nan
LOC105342485,0.8773504798065758
LOC105345080,0.9461372740077552
LOC105342484,-2.1495146917146424
LOC105342481,nan
LOC117684855,-0.04919681122157592
LOC117684858,-0.5354424492521166
LOC105322226,0.5732120021158637
LOC105345571,nan
LOC105319020,-1.0183550602827682
LOC117680370,-1.404117222936101
LOC105319012,-2.2319482024806185
LOC105319272,nan
LOC105319006,-1.1307034617115328
LOC105318987,3.136848718601935
LOC105318976,-0.4111153267760398
LOC105318939,3.601575967247041
LOC105318930,-2.208754249819179
LOC105318923,-0.18802958002504486
LOC105319267,1.2809346249446392
LOC105318875,0.31108090449525655
LOC105318868,-0.8477354054628281
LOC105318860,-1.2254407105312355
LOC105318849,1.2939272061702125
LOC105318841,-0.02145338383541289
LOC105318825,1.6548300202000803
LOC109617424,nan
LOC109618744,-1.4793208048944029
LOC105346926,nan
LOC105342026,-0.1638242661885367
LOC117690252,-1.261829524904848
LOC105342027,-1.1302778965252183
LOC109620420,5.281346132293163
LOC105342022,0.16639899978466777
LOC105342021,4.610733174562169
LOC105342020,2.165971920137952
LOC105342019,0.42219054962004493
LOC105342018,1.358772356092434
LOC105342017,-1.2273454880285721
LOC105342016,2.634369803549245
LOC105342014,-0.7850782105282129
LOC105342013,-0.11039460236532211
LOC105342012,3.1124769913603947
LOC105340508,0.7279587390788398
LOC105340509,1.489959137066717
LOC109620264,-0.125598775995327
LOC105340512,-1.1945599546533907
LOC105340513,-0.33890388814164724
LOC105340515,0.02095945190110923
LOC117687203,-0.6366380582034772
LOC105340516,-1.3251157067302575
LOC105340518,-0.22641238189922394
LOC105340523,-1.8094300631285762
LOC105340522,-1.704197792646452
LOC105340521,1.0148644852255169
LOC105340524,2.423790710965207
LOC105340525,-1.0372276696248754
LOC117691716,0.018504330359720576
LOC105340526,0.35367726363865953
LOC117680419,-1.232585846339582
LOC105340527,-0.781380845624177
LOC105331897,nan
LOC109617279,nan
LOC105317484,0.7969538073379199
LOC109617282,-0.5519971468120181
LOC105317485,0.7869876018724572
LOC105317487,5.571920532029211
LOC117692541,nan
LOC105317489,-1.0902313282332627
LOC105317491,0.3844210395803144
LOC105317492,-0.17493986516992888
LOC105317493,-0.7123857351030584
LOC105317494,nan
LOC105317495,6.2236855830874145
LOC105317496,1.988131912250245
LOC105317497,-1.150167283206358
LOC105317498,5.129305171840406
LOC105317501,-0.5143881508935975
LOC105317500,-0.25941678597858553
LOC105317502,-0.3270600626685608
LOC105317504,-1.1163223417302486
LOC105317526,0.7499130913302
LOC105317505,-1.1592058593641523
LOC105317506,-1.1652900853511843
LOC105317507,-0.026757919156140893
LOC105345332,-2.4482192998532897
LOC105345358,0.6458639953914933
LOC105345333,0.5611358199751905
LOC105345334,2.131634015537055
LOC105345335,-0.04501795660150413
LOC105345336,-0.6621317118289569
LOC105345337,0.7629253937482506
LOC105329330,0.059734751628543054
LOC109618879,-0.6586678919120122
LOC105329332,0.7711478690361867
LOC105329329,-1.0602533924368527
LOC105329328,0.004734820324134241
LOC105329326,0.5904582154525461
LOC105329325,-0.17018727588092605
LOC105324474,-0.9882770201566581
LOC105324473,-0.5324611659743638
LOC105324472,-2.6160196584375814
LOC105339389,0.7269847350036142
LOC105339388,-2.3257185544223518
LOC109617286,1.2836688293152947
LOC105317558,1.902283107376659
LOC105317560,-1.0085590833474467
LOC105317561,-1.0800168614264436
LOC105317562,-0.7003180876517012
LOC105317566,0.9969355672655394
LOC105331442,-4.580628293124416
LOC105331435,-0.8038003134302177
LOC105328178,nan
LOC105320451,nan
LOC117692829,-0.7955206565814886
LOC105344537,nan
LOC105341790,-0.49856758809220275
LOC105341780,-0.6679071999671753
LOC105341764,3.522260896706345
LOC105341732,0.8414477492388561
LOC117692853,-0.061621882573422035
LOC105341723,6.633105938258126
LOC117692851,-0.3728845027106882
LOC105341957,-1.8004565350981272
LOC105317911,-1.179875142959253
LOC105317914,0.200768475772782
LOC105317913,-1.0386532855670392
LOC109617331,6.562023310758654
LOC105317915,0.368167360168166
LOC105317917,2.686563590178938
LOC105319127,0.7246993636118793
LOC105319126,-0.3879414047587679
LOC117692889,0.22623690663158005
LOC105319125,1.3950754904747946
LOC105319124,-0.8417145931964578
LOC105319122,1.0146788221010408
LOC105319121,-1.2511229581914325
LOC105340437,-2.2661657688453447
LOC105334741,0.3761295904070213
LOC105340438,-0.8474366511769615
LOC105340439,1.4837176060726527
LOC117680600,0.36031939698542087
LOC105331858,-0.6654977793401431
LOC117692906,nan
LOC105331871,0.32606007036028917
LOC105331862,-0.7667713911980522
LOC105331863,-0.7357032957309447
LOC105331864,-0.18031336522271335
LOC105331865,-0.4282492812800164
LOC105331866,-0.0023132090739965525
LOC117692910,-1.7830564971016707
LOC105331867,-1.5913784139202687
LOC117692915,-1.2932654163266848
LOC105331868,-0.8785872072929547
LOC105331869,8.100771771081064
LOC105335381,5.123443581043805
LOC105335380,-1.3686671438193982
LOC117692931,1.650288777465957
LOC105321384,0.48944291220143704
LOC105320115,0.2559595605072656
LOC105320117,-2.0028841492386134
LOC105325160,4.755474709311729
LOC105325159,0.551929465569676
LOC105325157,nan
LOC105325156,6.41764115557824
LOC105325155,0.6013222843660156
LOC105325152,2.3645617389907634
LOC105325151,-2.2960026054894254
LOC105325150,nan
LOC105325149,-2.52443189892467
LOC105325148,-1.376246320539475
LOC105325147,-0.46541067685280413
LOC105325146,0.01829430595137309
LOC105325144,0.5649214384384709
LOC105325143,nan
LOC117692969,-1.2431102835219767
LOC105325142,0.524088995664001
LOC105325141,0.14419583986943976
LOC105325140,-0.6154424209480844
